id,name,city,state,country_code,latitude,longitude,ports,power_kw,power_class,is_fast_dc
307460,Anantam Clubs & Resorts,Gandhinagar,Gujarat,IN,23.338355,72.70008,2.0,30.0,AC_HIGH_(22-49kW),False
307459,"Laxura Restaurant, Banquet & Rooms",Mandali,Gujarat,IN,23.428885,72.394159,2.0,30.0,AC_HIGH_(22-49kW),False
307458,Tectonic Power Charging Station,Baliyasan,Gujarat,IN,23.446523,72.39375,2.0,30.0,AC_HIGH_(22-49kW),False
307457,Kesar Hotel & Restaurant,Viramgam,Gujarat,IN,23.091109,72.030014,2.0,30.0,AC_HIGH_(22-49kW),False
307456,Hotel Decent,Unava,Gujarat,IN,23.751381,72.366972,2.0,30.0,AC_HIGH_(22-49kW),False
307455,HOTEL LAGOON PARK,Palanpur,Gujarat,IN,24.065471,72.393312,2.0,30.0,AC_HIGH_(22-49kW),False
307454,Ramee Royal Resort & Spa,Udaipur,Rajasthan,IN,24.49439,73.656474,4.0,30.0,AC_HIGH_(22-49kW),False
307453,Hotel Raj Palace,Nimbahera,Rajasthan,IN,24.59119,74.696859,2.0,30.0,AC_HIGH_(22-49kW),False
307452,Chitrakoot Resorts and Restaurant,Chittorgarh,Rajasthan,IN,24.834306,74.569742,4.0,30.0,AC_HIGH_(22-49kW),False
307382,Tata Power Charging Station,Ajmer,Rajasthan,IN,26.426093,74.681438,2.0,50.0,DC_FAST_(50-149kW),True
307381,Xobolt Charging Station,Tolamal,Rajasthan,IN,26.593029,74.927095,2.0,30.0,AC_HIGH_(22-49kW),False
307380,Volttic Charging Station,Mozamabad,Rajasthan,IN,26.746037,75.321425,2.0,30.0,AC_HIGH_(22-49kW),False
307379,Statiq Charging Station,Jaipur,Rajasthan,IN,26.807015,75.64265,2.0,30.0,AC_HIGH_(22-49kW),False
307378,Xobolt Charging Station,Thegda,Rajasthan,IN,25.160057,75.881763,2.0,30.0,AC_HIGH_(22-49kW),False
307376,Statiq Charging Station,Bijolia,Rajasthan,IN,25.14772,75.324367,2.0,30.0,AC_HIGH_(22-49kW),False
307296,Tata Power Vehicle Charging Station,Sambhra,Rajasthan,IN,25.932108,72.226824,2.0,30.0,AC_HIGH_(22-49kW),False
307295,Xobolt Charging Station,Jodhpur,Rajasthan,IN,26.261765,73.00008,2.0,30.0,AC_HIGH_(22-49kW),False
307294,Statiq Charging Station,Jodhpur,Rajasthan,IN,26.317608,72.868561,1.0,30.0,AC_HIGH_(22-49kW),False
307293,Xobolt Charging Station,Bhamatsar,Rajasthan,IN,27.667036,73.368207,2.0,30.0,AC_HIGH_(22-49kW),False
307292,Jio-BP pulse,Bikaner,Rajasthan,IN,28.026865,73.264094,2.0,30.0,AC_HIGH_(22-49kW),False
307291,Tata Power Charging Station,Ratangarh,Rajasthan,IN,28.056081,74.604267,2.0,30.0,AC_HIGH_(22-49kW),False
307290,Xobolt Charging Station,Jaipur,Rajasthan,IN,27.679819,75.091262,2.0,30.0,AC_HIGH_(22-49kW),False
307288,GLIDA Charging Station,Neemrana,Rajasthan,IN,27.978349,76.400486,1.0,30.0,AC_HIGH_(22-49kW),False
307284,Xobolt Charging Station,Parasrampura,Rajasthan,IN,27.345804,75.602122,2.0,30.0,AC_HIGH_(22-49kW),False
307283,AARGO EV Charging Station,Reengus,Rajasthan,IN,27.342292,75.602684,1.0,25.0,AC_HIGH_(22-49kW),False
307282,Statiq Charging Station,Shahpura,Rajasthan,IN,27.488589,76.052866,2.0,30.0,AC_HIGH_(22-49kW),False
307281,Volttic Charging Station,Jodhpura,Rajasthan,IN,27.287328,76.773232,2.0,30.0,AC_HIGH_(22-49kW),False
307151,"MobiLane Charging Station, Jamanagar",Vasai,Gujarat,IN,22.437681,69.963374,2.0,40.0,AC_HIGH_(22-49kW),False
307150,MobiLane Charging Station,Samalaji,Gujarat,IN,23.654372,73.316787,2.0,40.0,AC_HIGH_(22-49kW),False
307149,Statiq Charging Station,Udaipur,Rajasthan,IN,24.594579,73.768708,1.0,30.0,AC_HIGH_(22-49kW),False
307148,Tata Power Charging Station,Vallabhnagar,Rajasthan,IN,24.61225,74.072816,1.0,30.0,AC_HIGH_(22-49kW),False
307147,NEEL-GAGAN PUNJABI DHABA,Shishod,Rajasthan,IN,23.9319,73.568555,2.0,30.0,AC_HIGH_(22-49kW),False
307146,Hotel Atithi Palace,Badla,Rajasthan,IN,23.959043,73.581657,2.0,30.0,AC_HIGH_(22-49kW),False
307145,Hotel Green Plaza,Hamirgarh,Rajasthan,IN,25.152314,74.623213,2.0,30.0,AC_HIGH_(22-49kW),False
307144,HFM - Highway Food Mall,Limbdi,Gujarat,IN,22.567181,71.774189,2.0,30.0,AC_HIGH_(22-49kW),False
307143,Honest Restaurant- Amardeep food court,Kedariya,Gujarat,IN,23.006253,71.085909,2.0,30.0,AC_HIGH_(22-49kW),False
307141,Hotel Choudhary Place,Pindwara,Rajasthan,IN,24.757759,73.019977,2.0,30.0,AC_HIGH_(22-49kW),False
307140,Hotel Tiranga,Roopaheli,Rajasthan,IN,25.779833,74.623868,2.0,30.0,AC_HIGH_(22-49kW),False
307139,Novotel Jaipur Convention Centre,Jaipur,Rajasthan,IN,26.781056,75.826832,2.0,30.0,AC_HIGH_(22-49kW),False
307137,Jaipur Marriott Hotel,Jaipur,Rajasthan,IN,26.842027,75.7963,2.0,30.0,AC_HIGH_(22-49kW),False
307136,JCR - The Entertainment World,Jamnagar,Gujarat,IN,22.445355,70.116655,2.0,30.0,AC_HIGH_(22-49kW),False
307135,Hotel Express Highway,Behror,Rajasthan,IN,27.857417,76.265725,2.0,30.0,AC_HIGH_(22-49kW),False
307134,"Hotel Highway Express, Delhi Side",Behror,Rajasthan,IN,27.874214,76.276307,2.0,30.0,AC_HIGH_(22-49kW),False
307133,Courtyard by Marriott Aravali Resort,Faridabad,Haryana,IN,28.37164,77.210529,2.0,30.0,AC_HIGH_(22-49kW),False
307132,The Westin Sohna Resort and Spa,Sohna,Haryana,IN,28.237238,77.150387,2.0,30.0,AC_HIGH_(22-49kW),False
307131,Fortune Park Orange,Gurugram,Haryana,IN,28.249526,76.817011,2.0,30.0,AC_HIGH_(22-49kW),False
307111,Sarhol Charging Hub,Unknown City,Haryana,IN,28.48757,77.073321,6.0,30.0,AC_HIGH_(22-49kW),False
307110,Le Meridien,Gurgaon,Haryana,IN,28.480172,77.108378,2.0,30.0,AC_HIGH_(22-49kW),False
307109,Courtyard by Marriott,Gurgaon,Haryana,IN,28.460598,77.080664,2.0,30.0,AC_HIGH_(22-49kW),False
307108,Hotel Westinn,Gurgaon,Haryana,IN,28.476847,77.070676,2.0,30.0,AC_HIGH_(22-49kW),False
307107,Hotel Pullman,New Delhi,Delhi,IN,28.553361,77.123616,2.0,30.0,AC_HIGH_(22-49kW),False
307106,Le Méridien,New Delhi,Delhi,IN,28.618401,77.217836,2.0,30.0,AC_HIGH_(22-49kW),False
307105,"Mercedes Benz Silver Arrows, Noida",Noida,Uttar Pradesh,IN,28.596229,77.330625,2.0,90.0,DC_FAST_(50-149kW),True
307102,Andheri West,Mumbai,Maharashtra,IN,19.1166,72.82927,1.0,120.0,DC_FAST_(50-149kW),True
307035,Statiq Charging Station,New Delhi,Delhi,IN,28.544769,77.186145,2.0,60.0,DC_FAST_(50-149kW),True
307034,Statiq Charging Station,Unknown City,Delhi,IN,28.513197,77.186071,1.0,60.0,DC_FAST_(50-149kW),True
307033,Statiq Charging Station,New Delhi,Delhi,IN,28.561322,77.269668,2.0,60.0,DC_FAST_(50-149kW),True
307032,Statiq Charging Station,Faridabad,Haryana,IN,28.459093,77.306397,2.0,60.0,DC_FAST_(50-149kW),True
307031,Statiq Charging Station,"Badarpur, New Delhi",Delhi,IN,28.518732,77.294795,2.0,60.0,DC_FAST_(50-149kW),True
307030,Savoy Suites Charging Station,Noida,Uttar Pradesh,IN,28.464613,77.508467,2.0,120.0,DC_FAST_(50-149kW),True
307029,MLCP Zone3 Captive Charging Station,Noida,Uttar Pradesh,IN,28.569917,77.322085,2.0,120.0,DC_FAST_(50-149kW),True
307028,Berger Tower Charging Station,Noida,Uttar Pradesh,IN,28.574544,77.313483,2.0,120.0,DC_FAST_(50-149kW),True
307027,EESL Charging Station,Noida,Uttar Pradesh,IN,28.587968,77.352087,1.0,22.0,AC_HIGH_(22-49kW),False
306986,EESL Charging Station,Unknown City,Delhi,IN,28.583695,77.222226,1.0,15.0,AC_L2_(7.5-21kW),False
306985,EESL Charging Station,Unknown City,Delhi,IN,28.633916,77.217594,1.0,15.0,AC_L2_(7.5-21kW),False
306984,EESL Charging Station,Unknown City,Delhi,IN,28.631607,77.221927,1.0,15.0,AC_L2_(7.5-21kW),False
306983,EESL Charging Station,Unknown City,Delhi,IN,28.63359,77.223554,1.0,15.0,AC_L2_(7.5-21kW),False
306982,EESL Charging Station,Unknown City,Delhi,IN,28.634997,77.219672,1.0,15.0,AC_L2_(7.5-21kW),False
306981,EESL Charging Station,Unknown City,Delhi,IN,28.601894,77.186212,1.0,15.0,AC_L2_(7.5-21kW),False
306980,GTB Nagar Metro Station Parking,Unknown City,Delhi,IN,28.699036,77.203992,4.0,60.0,DC_FAST_(50-149kW),True
306979,Hans Resorts,Rewari,Haryana,IN,28.125637,76.638064,1.0,60.0,DC_FAST_(50-149kW),True
306978,Subway,Bhiwadi,Rajasthan,IN,28.201921,76.809537,1.0,60.0,DC_FAST_(50-149kW),True
306977,Bikanerwala,Gurugram,Haryana,IN,28.323268,76.901139,1.0,30.0,AC_HIGH_(22-49kW),False
306976,Krishna Valley Vrindavan,Unknown City,Uttar Pradesh,IN,27.575292,77.614531,1.0,7.0,AC_L1_(<7.5kW),False
306975,Kosi Gulshan Dhaba,Unknown City,Uttar Pradesh,IN,27.829224,77.421066,1.0,30.0,AC_HIGH_(22-49kW),False
306974,Haldiram,Unknown City,Uttar Pradesh,IN,27.824118,77.425613,1.0,25.0,AC_HIGH_(22-49kW),False
306973,Asli Pappu Dhaba (2),Unknown City,Uttar Pradesh,IN,27.823974,77.4252,2.0,60.0,DC_FAST_(50-149kW),True
306972,Asli Pappu Dhaba,Unknown City,Uttar Pradesh,IN,27.816316,77.427631,1.0,24.0,AC_HIGH_(22-49kW),False
306971,Golden Galaxy Hotels & Resorts,Unknown City,Haryana,IN,28.2894,77.296641,1.0,50.0,DC_FAST_(50-149kW),True
306970,Powerbank Ghitorni Metro Station Parking Area,Unknown City,Delhi,IN,28.492717,77.148441,1.0,25.0,AC_HIGH_(22-49kW),False
306969,Qutab Minar Metro Station,Unknown City,Delhi,IN,28.514138,77.186811,4.0,7.0,AC_L1_(<7.5kW),False
306968,ITC Maurya,Unknown City,Delhi,IN,28.597342,77.173183,2.0,7.0,AC_L1_(<7.5kW),False
306967,EESL Charging Station,Unknown City,Delhi,IN,28.600694,77.226158,1.0,22.0,AC_HIGH_(22-49kW),False
306953,TML Autovikas,Faridabad,Haryana,IN,28.36286,77.314811,1.0,30.0,AC_HIGH_(22-49kW),False
306952,FBD ONE CORPORATION PARK,Faridabad,Haryana,IN,28.488169,77.305773,10.0,30.0,AC_HIGH_(22-49kW),False
306951,Moolchand Metro Station,Unknown City,Delhi,IN,28.56437,77.23404,4.0,60.0,DC_FAST_(50-149kW),True
306950,"A-359, Varun Marg, Market, near Gol Gumbad",Unknown City,Delhi,IN,28.57419,77.231086,2.0,60.0,DC_FAST_(50-149kW),True
306937,IOCL Citi Fuels,New Delhi,Delhi,IN,28.622301,77.095451,1.0,25.0,AC_HIGH_(22-49kW),False
306878,Galleria Charging Station,Gurugram,Haryana,IN,28.467709,77.081758,2.0,120.0,DC_FAST_(50-149kW),True
306877,JMD Pacific Square Charging Station,Gurugram,Haryana,IN,28.463933,77.048746,1.0,120.0,DC_FAST_(50-149kW),True
306876,Bikanervala Sec-29 Charging Station,Gurugram,Haryana,IN,28.468828,77.063884,2.0,120.0,DC_FAST_(50-149kW),True
306875,Crowne Plaza Gurgaon,Gurgaon,Haryana,IN,28.467984,77.059768,1.0,7.0,AC_L1_(<7.5kW),False
306874,Statiq Charging Station,Gurugram,Haryana,IN,28.497655,77.093116,1.0,60.0,DC_FAST_(50-149kW),True
306873,Gulf Adiba,Gurugram,Haryana,IN,28.507955,77.085852,1.0,30.0,AC_HIGH_(22-49kW),False
306804,JW Marriott - Aerocity,Delhi,Delhi,IN,28.55314,77.12122,2.0,30.0,AC_HIGH_(22-49kW),False
306803,Aloft,Delhi,Delhi,IN,28.552368,77.12382,2.0,30.0,AC_HIGH_(22-49kW),False
